,State_UT,Crime_2020,Crime_2021,Crime_2022,Mid-Year_Projected_Population(2022),IPC_2022,Chargesheeting_Rate(2022)
17,Nagaland,1022,1033,1008,22.2,45.4,58.0
21,Sikkim,504,532,549,6.8,80.3,55.5
15,Meghalaya,2871,2672,2914,33.3,87.6,26.9
24,Tripura,4010,4133,3653,41.2,88.7,73.1
35,Lakshadweep,107,89,64,0.7,92.8,73.5
