,State_UT,Crime_2020,Crime_2021,Crime_2022,Mid-Year_Projected_Population(2022),IPC_2022,Chargesheeting_Rate(2022)
14,Manipur,2349,2484,3029,32.0,94.6,10.4
15,Meghalaya,2871,2672,2914,33.3,87.6,26.9
32,Delhi,249192,291904,300429,211.0,1424.1,30.2
2,Assam,111558,119883,59315,354.9,167.1,32.6
7,Haryana,103276,112720,125435,299.7,418.6,43.3
